en_US,ru_RU,fr_FR
This book is a gripping and scientifically accurate tale of survival. It follows astronaut Mark Watney as he uses his ingenuity to survive alone on Mars after being presumed dead.,"Эта книга — захватывающая и научно достоверная история о выживании. Она рассказывает о том, как астронавт Марк Уотни использует свою изобретательность, чтобы в одиночку выжить на Марсе после того, как его сочли погибшим",Ce livre est un récit de survie captivant et scientifiquement précis. Il suit l'astronaute Mark Watney alors qu'il utilise son ingéniosité pour survivre seul sur Mars après avoir été présumé mort.
"A dark and twisted psychological thriller, this novel masterfully plays with the unreliable narrator trope. The story of Nick and Amy Dunne's marriage unravels with shocking and unpredictable turns.",Этот мрачный и запутанный психологический триллер мастерски использует образ ненадёжного рассказчика. История брака Ника и Эми Данн разворачивается в шокирующих и непредсказуемых поворотах,"Thriller psychologique sombre et tortueux, ce roman joue magistralement avec le personnage du narrateur peu fiable. L'histoire du mariage de Nick et Amy Dunne se déroule avec des rebondissements choquants et imprévisibles."
This is an incredible and inspiring memoir about a young woman who escapes her survivalist family to pursue an education. Westover's journey from an isolated childhood to earning a Ph.D. from Cambridge is both harrowing and triumphant.,"Это невероятные и вдохновляющие мемуары о молодой женщине, которая сбегает из семьи, борющейся за выживание, чтобы получить образование. Путь Вестовер от одинокого детства к получению докторской степени в Кембридже одновременно мучителен и триумфален","Ce sont des mémoires incroyables et inspirants sur une jeune femme qui échappe à sa famille survivaliste pour poursuivre ses études. Le parcours de Westover, depuis son enfance isolée jusqu'à l'obtention d'un doctorat à Cambridge, est à la fois poignant et triomphant."
"This book offers a fascinating and sweeping overview of human history, from the Stone Age to the present. Harari's ability to synthesize vast amounts of information into an accessible narrative makes this a truly eye-opening read","Эта книга предлагает захватывающий и всеобъемлющий обзор истории человечества, от каменного века до наших дней. Способность Харари обобщать огромные объёмы информации в доступной форме делает эту книгу поистине захватывающим чтением","Ce livre offre un aperçu fascinant et complet de l'histoire humaine, de l'âge de pierre à nos jours. La capacité de Harari à synthétiser de vastes quantités d'informations dans un récit accessible en fait une lecture véritablement révélatrice. "
"A quintessential American novel, \""The Great Gatsby\"" is a tragic and poignant story of wealth, love, and the elusive American Dream. Its beautiful prose and symbolic depth make it a timeless classic","«Великий Гэтсби» — типичный американский роман, трагическая и трогательная история о богатстве, любви и неуловимой американской мечте. Прекрасная проза и символическая глубина делают его классикой, неподвластной времени","Roman américain par excellence, «Gatsby le Magnifique» est une histoire tragique et poignante de richesse, d’amour et du rêve américain insaisissable. Sa prose magnifique et sa profondeur symbolique en font un classique intemporel."
This powerful and heartbreaking novel tells the story of two women in Afghanistan whose lives are brought together by war and fate. Hosseini's vivid storytelling provides a moving look into the resilience of the human spirit,"Этот сильный и душераздирающий роман рассказывает историю двух женщин в Афганистане, чьи жизни соединили война и судьба. Яркое повествование Хоссейни даёт трогательный взгляд на стойкость человеческого духа",Ce roman puissant et déchirant raconte l'histoire de deux femmes en Afghanistan dont les vies sont rapprochées par la guerre et le destin. La narration vivante d'Hosseini offre un regard émouvant sur la résilience de l'esprit humain. 
"A beautifully written and evocative retelling of the Greek myth, this novel gives a voice to the goddess Circe. Miller's lyrical prose creates a compelling portrait of a woman finding her own power in a world of gods and mortals","Этот роман, прекрасно написанный и вызывающий эмоции пересказ греческого мифа, даёт голос богине Цирцее. Лирическая проза Миллер создаёт убедительный портрет женщины, обретающей собственную силу в мире богов и смертных","Récit magnifiquement écrit et évocateur du mythe grec, ce roman donne la parole à la déesse Circé. La prose lyrique de Miller crée le portrait convaincant d'une femme trouvant son propre pouvoir dans un monde de dieux et de mortels. "
This comedic science fiction classic is a whirlwind of absurdity and wit. Adams's clever humor and imaginative universe make for a hilarious and unforgettable journey through space,Эта комедийная научно-фантастическая классика — настоящий вихрь абсурда и остроумия. Тонкий юмор Адамса и его творческая вселенная делают это путешествие по космосу уморительным и незабываемым,Ce classique de la science-fiction comique est un tourbillon d'absurdité et d'esprit. L'humour intelligent et l'univers imaginatif d'Adams créent un voyage hilarant et inoubliable à travers l'espace. 
"A stunning blend of coming-of-age story, murder mystery, and nature writing, this novel is both a love letter to the natural world and a compelling tale of isolation and prejudice. The story of Kya, the \""Marsh Girl,\"" is deeply moving","Этот роман, представляющий собой потрясающее сочетание истории взросления, детектива и описания природы, — одновременно любовное послание миру природы и захватывающая история об изоляции и предрассудках. История Кии, «болотной девочки», глубоко трогает душу","Mélange saisissant de récit initiatique, de roman policier et de littérature naturaliste, ce roman est à la fois une lettre d'amour à la nature et un récit captivant sur l'isolement et les préjugés. L'histoire de Kya, la «fille des marais», est profondément émouvante."
"Death itself, this unique and poignant novel tells the story of a young girl living in Nazi Germany. Zusak's inventive narrative and powerful characterizations create a profoundly emotional reading experience","Смерть сама по себе — этот уникальный и трогательный роман рассказывает историю молодой девушки, живущей в нацистской Германии. Изобретательное повествование Зусака и яркие образы персонажей создают глубоко эмоциональное впечатление от чтения","La mort elle-même, ce roman unique et poignant raconte l'histoire d'une jeune fille vivant dans l'Allemagne nazie. Le récit inventif et les caractérisations puissantes de Zusak créent une expérience de lecture profondément émouvante. "
