en_US,ru_RU,fr_FR
A.A. Milne,А.А. Милн,A.A. Milne
Agatha Christie,Агата Кристи,Agatha Christie
Alan Moore and Dave Gibbons,Алан Мур и Дэйв Гиббонс,Alan Moore et Dave Gibbons
Albert Camus,Альбер Камю,Albert Camus
Aldous Huxley,Олдос Хаксли,Aldous Huxley
Alexander Pope,Александр Поуп,Alexander Pope
Alexandre Dumas,Александр Дюма,Alexandre Dumas
Alice Walker,Элис Уокер,Alice Walker
Andrew Lang,Эндрю Лэнг,Andrew Lang
Anne Frank,Анна Франк,Anne Frank
Anthony Burgess,Энтони Берджесс,Anthony Burgess
Anthony Trollope,Энтони Троллоп,Anthony Trollope
Antoine de Saint-Exupéry,Антуан де Сент-Экзюпери,Antoine de Saint-Exupéry
Anton Chekhov,Антон Чехов,Anton Tchekhov
Anton Pavlovich Chekhov,Антон Павлович Чехов,Anton Pavlovitch Tchekhov
Arthur Conan Doyle,Артур Конан Дойль,Arthur Conan Doyle
Arthur Schopenhauer,Артур Шопенгауэр,Arthur Schopenhauer
Aylmer Maude,Эйлмер Мод,Aylmer Maude
Ayn Rand,Айн Рэнд,Ayn Rand
Beatrix Potter,Беатрикс Поттер,Beatrix Potter
Benjamin Disraeli,Бенджамин Дизраэли,Benjamin Disraeli
Benjamin Jowett,Бенджамин Джоуэтт,Benjamin Jowett
Bernard Shaw,Бернард Шоу,Bernard Shaw
Bertrand Russell,Бертран Рассел,Bertrand Russell
Bhagavanlal Indrajit,Бхагаванлал Индраджит,Bhagavanlal Indrajit
Boris Pasternak,Борис Пастернак,Boris Pasternak
Bram Stoker,Брэм Стокер,Bram Stoker
Brian Evenson,Брайан Эвенсон,Brian Evenson
C.E. Brock,К. Э. Брок,C.E. Brock
C.S. Lewis,К. С. Льюис,C.S. Lewis
Carson McCallers,Карсон Маккаллерс,Carson McCallers
Charles Dickens,Чарльз Диккенс,Charles Dickens
Charles E. Derbyshire,Чарльз Э. Дербишир,Charles E. Derbyshire
Charlotte Brontë,Шарлотта Бронте,Charlotte Brontë
Charlotte Perkins Gilman,Шарлотта Перкинс Гилман,Charlotte Perkins Gilman
Chinua Achebe,Чинуа Ачебе,Chinua Achebe
Clifford R. Adams,Клиффорд Р. Адамс,Clifford R. Adams
Constance Garnett,Констанс Гарнетт,Constance Garnett
Cormac McCarthy,Кормак Маккарти,Cormac McCarthy
D.H. Lawrence,Д. Г. Лоуренс,D.H. Lawrence
Dan Brown,Дэн Браун,Dan Brown
Daniel Defoe,Дэниэль Дефо,Daniel Defoe
Dante Alighieri,Данте Алигьери,Dante Alighieri
Dashiell Hammett,Дэшилл Хэмметт,Dashiell Hammett
David Widger,Дэвид Уиджер,David Widger
David Wyllie,Дэвид Уилли,David Wyllie
Dean Koontz,Дин Кунц,Dean Koontz
Don DeLillo,Дон Делилло,Don DeLillo
E.M. Forster,Э. М. Форстер,E.M. Forster
Edgar Allan Poe,Эдгар Аллан По,Edgar Allan Poe
Edgar Rice Burroughs,Эдгар Райс Берроуз,Edgar Rice Burroughs
Elizabeth Cleghorn Gaskell,Элизабет Клегхорн Гаскелл,Elizabeth Cleghorn Gaskell
