en_US,ru_RU,fr_FR
Adventure,Приключения,Aventure
Biography,Биография,Biographie
Business,Бизнес,Économie
Children's Literature,Детская литература,Littérature jeunesse
Classic,Классика,Classique
Comedy,Комедия,Comédie
Comic,Комикс,Bande dessinée
Detective,Детектив,Policier
Drama,Драма,Drame
Fantasy,Фэнтези,Fantastique
Graphic Novel,Графический роман,Roman graphique
Historical Fiction,Историческая литература,Fiction historique
Horror,Ужасы,Horreur
Memoir,Мемуары,Mémoires
Mystery,Мистерия,Mystère
Mythology,Мифология,Mythologie
Philosophy,Философия,Philosophie
Poetry,Поэзия,Poésie
Psychology,Психология,Psychologie
Religion,Религия,Religion
Romance,Любовь,Roman d\'amour
Science Fiction,Научная фантастика,Science-fiction
Thriller,Триллер,Thriller
Western,Вестерн,Western
Young Adult,Молодёжная литература,Jeunesse
