en_US,ru_RU,fr_FR
Academic Press,Academic Press,Presses académiques
Ace Books,Ace Books,Ace Books
Addison-Wesley,Addison-Wesley,Addison-Wesley
Adis International,Adis International,Adis International
Airiti Press,Airiti Press,Airiti Press
Allen Ltd,Allen Ltd,Allen Ltd
Andrews McMeel Publishing,Andrews McMeel Publishing,Andrews McMeel Publishing
Anova Books,Anova Books,Anova Books
Anvil Press Poetry,Anvil Press Poetry,Anvil Press Poetry
Applewood Books,Applewood Books,Applewood Books
Apress,Apress,Apress
Athabasca University Press,Athabasca University Press,Athabasca University Press
Atheneum Books,Atheneum Books,Atheneum Books
Atheneum Publishers,Atheneum Publishers,Atheneum Publishers
Atlantic Books,Atlantic Books,Atlantic Books
Atlas Press,Atlas Press,Atlas Press
BBC Books,BBC Books,BBC Books
Ballantine Books,Ballantine Books,Ballantine Books
Banner of Truth Trust,Banner of Truth Trust,Banner of Truth Trust
Bantam Books,Bantam Books,Bantam Books
Bantam Spectra,Bantam Spectra,Bantam Spectra
Barrie & Jenkins,Barrie & Jenkins,Barrie & Jenkins
Basic Books,Basic Books,Basic Books
Belknap Press,Belknap Press,Belknap Press
Bella Books,Bella Books,Bella Books
Bellevue Literary Press,Bellevue Literary Press,Bellevue Literary Press
Berg Publishers,Berg Publishers,Berg Publishers
Berkley Books,Berkley Books,Berkley Books
Bison Books,Bison Books,Bison Books
Black Dog Publishing,Black Dog Publishing,Black Dog Publishing
Black Library,Black Library,Black Library
Black Sparrow Books,Black Sparrow Books,Black Sparrow Books
Blackie and Son Limited,Blackie and Son Limited,Blackie and Son Limited
Blackstaff Press,Blackstaff Press,Blackstaff Press
Blackwell Publishing,Blackwell Publishing,Blackwell Publishing
Bloodaxe Books,Bloodaxe Books,Bloodaxe Books
Bloomsbury Publishing Plc,Bloomsbury Publishing Plc,Bloomsbury Publishing Plc
Blue Ribbon Books,Blue Ribbon Books,Blue Ribbon Books
Book League of America,Book League of America,Book League of America
Book Works,Книга Произведения,Book Works
Booktrope,Booktrope,Booktrope
Borgo Press,Borgo Press,Borgo Press
Bowes & Bowes,Bowes & Bowes,Bowes & Bowes
Boydell & Brewer,Boydell & Brewer,Boydell & Brewer
Breslov Research Institute,Breslov Research Institute,Institut de recherche Breslov
Brill,Brill,Brill
Brimstone Press,Brimstone Press,Brimstone Press
Broadview Press,Broadview Press,Broadview Press
Burns & Oates,Burns & Oates,Burns & Oates
Butterworth-Heinemann,Butterworth-Heinemann,Butterworth-Heinemann
Caister Academic Press,Caister Academic Press,Caister Academic Press
Cambridge University Press,Cambridge University Press,Cambridge University Press
Candlewick Press,Candlewick Press,Candlewick Press
Canongate Books,Canongate Books,Canongate Books
Carcanet Press,Carcanet Press,Carcanet Press
Carlton Books,Carlton Books,Carlton Books
Carlton Publishing Group,Carlton Publishing Group,Carlton Publishing Group
Carnegie Mellon University Press,Carnegie Mellon University Press,Carnegie Mellon University Press
Casemate Publishers,Casemate Publishers,Casemate Publishers
Cengage Learning,Cengage Learning,Cengage Learning
Central European University Press,Central European University Press,Central European University Press
Chambers Harrap,Chambers Harrap,Chambers Harrap
Charles Scribner's Sons,Charles Scribner's Sons,Charles Scribner's Sons
Chatto and Windus,Chatto and Windus,Chatto and Windus
Chick Publications,Chick Publications,Chick Publications
Chronicle Books,Chronicle Books,Chronicle Books
Churchill Livingstone,Churchill Livingstone,Churchill Livingstone
Cisco Press,Cisco Press,Cisco Press
City Lights Publishers,City Lights Publishers,City Lights Publishers
Cloverdale Corporation,Cloverdale Corporation,Cloverdale Corporation
D. Appleton & Company,D. Appleton & Company,D. Appleton & Company
D. Reidel,D. Reidel,D. Reidel
DAW Books,DAW Books,DAW Books
Da Capo Press,Da Capo Press,Da Capo Press
Daedalus Publishing,Daedalus Publishing,Daedalus Publishing
Dalkey Archive Press,Dalkey Archive Press,Dalkey Archive Press
Darakwon Press,Darakwon Press,Darakwon Press
David & Charles,David & Чарльз,David & Charles
Dedalus Books,Dedalus Books,Dedalus Books
Del Rey Books,Del Rey Books,Del Rey Books
E. P. Dutton,E. P. Dutton,E. P. Dutton
ECW Press,ECW Press,ECW Press
Earthscan,Earthscan,Earthscan
Edupedia Publications,Edupedia Publications,Edupedia Publications
Eel Pie Publishing,Eel Pie Publishing,Eel Pie Publishing
Eerdmans Publishing,Eerdmans Publishing,Eerdmans Édition
Ellora's Cave,Ellora's Cave,La Grotte d'Ellora
Elsevier,Elsevier,Elsevier
Emerald Group Publishing,Emerald Group Publishing,Éditions Emerald Group
Etruscan Press,Etruscan Press,Étruscan Press
FabJob,FabJob,FabJob
Faber and Faber,Faber and Faber,Faber et Faber
Fairview Press,Fairview Press,Fairview Press
"Farrar, Straus & Giroux","Farrar, Straus & Giroux","Farrar, Straus & Giroux"
Fearless Books,Fearless Books,Fearless Books
Felony & Mayhem Press,Felony & Mayhem Press,Felony & Mayhem Press
Firebrand Books,Firebrand Books,Firebrand Books
Flame Tree Publishing,Flame Tree Publishing,Flame Tree Publishing
