en_US,ru_RU,fr_FR
1984,1984,1984
"20,000 Leagues Under the Sea",20 000 лье под водой,20000 lieues sous les mers
A Bend in the River,Излучина реки,Un coude du fleuve
A Brief History of Time,Краткая история времени,Une brève histoire du temps
A Clockwork Orange,Заводной апельсин,Orange mécanique
A Confederacy of Dunces,Сговор остолопов,Le Clan des imbéciles
A Doll's House,Кукольный дом,Une maison de poupée
A Handful of Dust,Пригоршня праха,Une poignée de poussière
A Modest Proposal,Скромное предложение,Une modeste proposition
A Passage to India,Путешествие в Индию,La traversée des Indes
A Portrait of the Artist as a Young Man,Портрет художника в юности,Portrait de l'artiste en jeune homme
A Room with a View,Комната с видом,Chambre avec vue
A Study in Scarlet,Этюд в багровых тонах,Un bureau en écarlate
A Tale of Two Cities,Повесть о двух городах,Le conte de deux villes
A Wrinkle in Time,Излом времени,Un raccourci dans le temps
"Absalom, Absalom!","Авессалом, Авессалом!","Absalom, Absalom!"
Adventures of Huckleberry Finn,Приключения Гекльберри Финна,Les aventures de Huckleberry Finn
Alice's Adventures in Wonderland,Алиса в Стране чудес,Alice au pays des merveilles
All Quiet on the Western Front,На Западном фронте без перемен,À l'Ouest rien de nouveau
All the King's Men,Вся королевская рать,Les hommes du roi
American Pastoral,Американская пастораль,Pastorale américaine
An American Tragedy,Американская трагедия,Un Américain' Tragédi
And Then There Were None,И никого не стало,Et il n'en resta plus
Animal Farm,Скотный двор,La Ferme des animaux
Anna Karenina,Анна Каренина,Anna Karénine
Anne of Green Gables,Аня из Зелёных Мезонинов,Anne… la maison aux pignons verts
"Are You There God? It's Me, Margaret","Ты там, Боже? Это я, Маргарет","Êtes-vous là, mon Dieu? C'est moi, Margaret"
As I Lay Dying,Умирая,Alors que je mourais
Atlas Shrugged,Атлант расправил плечи,Atlas Shrugged
Atonement,Искупление,Reviens-moi
Austerlitz,Аустерлиц,Austerlitz
Beloved,Возлюбленная,Bien-aimés
Beyond Good and Evil,За гранью добра и зла,Par-delà le bien et le mal
Bible,Библия,La Bible
Bleak House,Холодный дом,La Maison sombre
Blood Meridian,Кровавый меридиан,Méridien de sang
Brave New World,О дивный новый мир,Le Meilleur des mondes
Brideshead Revisited,Возвращение в Брайдсхед,Brideshead revisité
Candide,Кандид,Candide
Carmilla,Кармилла,Carmilla
Catch-22,Уловка-22,Catch-22
Charlie and the Chocolate Factory,Чарли и шоколадная фабрика,Charlie et la Chocolaterie
Charlotte's Web,Паутина Шарлотты,La Toile de Charlotte
Clarissa,Кларисса,Clarissa
Cranford,Крэнфорд,Cranford
Crime and Punishment,Преступление и наказание,Crime et Châtiment
Dao De Jing: A Minimalist Translation,Дао Дэ Цзин: Минималистский перевод,Dao De Jing: une traduction minimaliste
David Copperfield,Дэвид Копперфилд,David Copperfield
Deliverance,Избавление,Délivrance
Don Quixote,Дон Кихот,Don Quichotte
Dora,Дора,Dora
Dr. Zhivago,Доктор Живаго,Dr. Jivago
Dracula,Дракула,Dracula
Dubliners,Дублинцы,Les Dublinois
Dune,Дюна,Dune
East of Eden,К востоку от рая,À l'est d'Éden
